track_id,genre_id,segment_paths
track_jazz.00075.wav,5,data/mel_spectrograms_train\track_jazz.00075.wav/track_jazz.00075.wav_segment_0.npy
track_jazz.00075.wav,5,data/mel_spectrograms_train\track_jazz.00075.wav/track_jazz.00075.wav_segment_1.npy
track_jazz.00075.wav,5,data/mel_spectrograms_train\track_jazz.00075.wav/track_jazz.00075.wav_segment_2.npy
track_jazz.00075.wav,5,data/mel_spectrograms_train\track_jazz.00075.wav/track_jazz.00075.wav_segment_3.npy
track_jazz.00075.wav,5,data/mel_spectrograms_train\track_jazz.00075.wav/track_jazz.00075.wav_segment_4.npy
track_jazz.00075.wav,5,data/mel_spectrograms_train\track_jazz.00075.wav/track_jazz.00075.wav_segment_5.npy
track_jazz.00075.wav,5,data/mel_spectrograms_train\track_jazz.00075.wav/track_jazz.00075.wav_segment_6.npy
track_jazz.00075.wav,5,data/mel_spectrograms_train\track_jazz.00075.wav/track_jazz.00075.wav_segment_7.npy
track_jazz.00075.wav,5,data/mel_spectrograms_train\track_jazz.00075.wav/track_jazz.00075.wav_segment_8.npy
track_jazz.00075.wav,5,data/mel_spectrograms_train\track_jazz.00075.wav/track_jazz.00075.wav_segment_9.npy
track_country.00004.wav,2,data/mel_spectrograms_train\track_country.00004.wav/track_country.00004.wav_segment_0.npy
track_country.00004.wav,2,data/mel_spectrograms_train\track_country.00004.wav/track_country.00004.wav_segment_1.npy
track_country.00004.wav,2,data/mel_spectrograms_train\track_country.00004.wav/track_country.00004.wav_segment_2.npy
track_country.00004.wav,2,data/mel_spectrograms_train\track_country.00004.wav/track_country.00004.wav_segment_3.npy
track_country.00004.wav,2,data/mel_spectrograms_train\track_country.00004.wav/track_country.00004.wav_segment_4.npy
track_country.00004.wav,2,data/mel_spectrograms_train\track_country.00004.wav/track_country.00004.wav_segment_5.npy
track_country.00004.wav,2,data/mel_spectrograms_train\track_country.00004.wav/track_country.00004.wav_segment_6.npy
track_country.00004.wav,2,data/mel_spectrograms_train\track_country.00004.wav/track_country.00004.wav_segment_7.npy
track_country.00004.wav,2,data/mel_spectrograms_train\track_country.00004.wav/track_country.00004.wav_segment_8.npy
track_country.00004.wav,2,data/mel_spectrograms_train\track_country.00004.wav/track_country.00004.wav_segment_9.npy
track_rock.00064.wav,9,data/mel_spectrograms_train\track_rock.00064.wav/track_rock.00064.wav_segment_0.npy
track_rock.00064.wav,9,data/mel_spectrograms_train\track_rock.00064.wav/track_rock.00064.wav_segment_1.npy
track_rock.00064.wav,9,data/mel_spectrograms_train\track_rock.00064.wav/track_rock.00064.wav_segment_2.npy
track_rock.00064.wav,9,data/mel_spectrograms_train\track_rock.00064.wav/track_rock.00064.wav_segment_3.npy
track_rock.00064.wav,9,data/mel_spectrograms_train\track_rock.00064.wav/track_rock.00064.wav_segment_4.npy
track_rock.00064.wav,9,data/mel_spectrograms_train\track_rock.00064.wav/track_rock.00064.wav_segment_5.npy
track_rock.00064.wav,9,data/mel_spectrograms_train\track_rock.00064.wav/track_rock.00064.wav_segment_6.npy
track_rock.00064.wav,9,data/mel_spectrograms_train\track_rock.00064.wav/track_rock.00064.wav_segment_7.npy
track_rock.00064.wav,9,data/mel_spectrograms_train\track_rock.00064.wav/track_rock.00064.wav_segment_8.npy
track_rock.00064.wav,9,data/mel_spectrograms_train\track_rock.00064.wav/track_rock.00064.wav_segment_9.npy
track_jazz.00003.wav,5,data/mel_spectrograms_train\track_jazz.00003.wav/track_jazz.00003.wav_segment_0.npy
track_jazz.00003.wav,5,data/mel_spectrograms_train\track_jazz.00003.wav/track_jazz.00003.wav_segment_1.npy
track_jazz.00003.wav,5,data/mel_spectrograms_train\track_jazz.00003.wav/track_jazz.00003.wav_segment_2.npy
track_jazz.00003.wav,5,data/mel_spectrograms_train\track_jazz.00003.wav/track_jazz.00003.wav_segment_3.npy
track_jazz.00003.wav,5,data/mel_spectrograms_train\track_jazz.00003.wav/track_jazz.00003.wav_segment_4.npy
track_jazz.00003.wav,5,data/mel_spectrograms_train\track_jazz.00003.wav/track_jazz.00003.wav_segment_5.npy
track_jazz.00003.wav,5,data/mel_spectrograms_train\track_jazz.00003.wav/track_jazz.00003.wav_segment_6.npy
track_jazz.00003.wav,5,data/mel_spectrograms_train\track_jazz.00003.wav/track_jazz.00003.wav_segment_7.npy
track_jazz.00003.wav,5,data/mel_spectrograms_train\track_jazz.00003.wav/track_jazz.00003.wav_segment_8.npy
track_jazz.00003.wav,5,data/mel_spectrograms_train\track_jazz.00003.wav/track_jazz.00003.wav_segment_9.npy
track_jazz.00002.wav,5,data/mel_spectrograms_train\track_jazz.00002.wav/track_jazz.00002.wav_segment_0.npy
track_jazz.00002.wav,5,data/mel_spectrograms_train\track_jazz.00002.wav/track_jazz.00002.wav_segment_1.npy
track_jazz.00002.wav,5,data/mel_spectrograms_train\track_jazz.00002.wav/track_jazz.00002.wav_segment_2.npy
track_jazz.00002.wav,5,data/mel_spectrograms_train\track_jazz.00002.wav/track_jazz.00002.wav_segment_3.npy
track_jazz.00002.wav,5,data/mel_spectrograms_train\track_jazz.00002.wav/track_jazz.00002.wav_segment_4.npy
track_jazz.00002.wav,5,data/mel_spectrograms_train\track_jazz.00002.wav/track_jazz.00002.wav_segment_5.npy
track_jazz.00002.wav,5,data/mel_spectrograms_train\track_jazz.00002.wav/track_jazz.00002.wav_segment_6.npy
track_jazz.00002.wav,5,data/mel_spectrograms_train\track_jazz.00002.wav/track_jazz.00002.wav_segment_7.npy
track_jazz.00002.wav,5,data/mel_spectrograms_train\track_jazz.00002.wav/track_jazz.00002.wav_segment_8.npy
track_jazz.00002.wav,5,data/mel_spectrograms_train\track_jazz.00002.wav/track_jazz.00002.wav_segment_9.npy
track_hiphop.00098.wav,4,data/mel_spectrograms_train\track_hiphop.00098.wav/track_hiphop.00098.wav_segment_0.npy
track_hiphop.00098.wav,4,data/mel_spectrograms_train\track_hiphop.00098.wav/track_hiphop.00098.wav_segment_1.npy
track_hiphop.00098.wav,4,data/mel_spectrograms_train\track_hiphop.00098.wav/track_hiphop.00098.wav_segment_2.npy
track_hiphop.00098.wav,4,data/mel_spectrograms_train\track_hiphop.00098.wav/track_hiphop.00098.wav_segment_3.npy
track_hiphop.00098.wav,4,data/mel_spectrograms_train\track_hiphop.00098.wav/track_hiphop.00098.wav_segment_4.npy
track_hiphop.00098.wav,4,data/mel_spectrograms_train\track_hiphop.00098.wav/track_hiphop.00098.wav_segment_5.npy
track_hiphop.00098.wav,4,data/mel_spectrograms_train\track_hiphop.00098.wav/track_hiphop.00098.wav_segment_6.npy
track_hiphop.00098.wav,4,data/mel_spectrograms_train\track_hiphop.00098.wav/track_hiphop.00098.wav_segment_7.npy
track_hiphop.00098.wav,4,data/mel_spectrograms_train\track_hiphop.00098.wav/track_hiphop.00098.wav_segment_8.npy
track_hiphop.00098.wav,4,data/mel_spectrograms_train\track_hiphop.00098.wav/track_hiphop.00098.wav_segment_9.npy
track_country.00010.wav,2,data/mel_spectrograms_train\track_country.00010.wav/track_country.00010.wav_segment_0.npy
track_country.00010.wav,2,data/mel_spectrograms_train\track_country.00010.wav/track_country.00010.wav_segment_1.npy
track_country.00010.wav,2,data/mel_spectrograms_train\track_country.00010.wav/track_country.00010.wav_segment_2.npy
track_country.00010.wav,2,data/mel_spectrograms_train\track_country.00010.wav/track_country.00010.wav_segment_3.npy
track_country.00010.wav,2,data/mel_spectrograms_train\track_country.00010.wav/track_country.00010.wav_segment_4.npy
track_country.00010.wav,2,data/mel_spectrograms_train\track_country.00010.wav/track_country.00010.wav_segment_5.npy
track_country.00010.wav,2,data/mel_spectrograms_train\track_country.00010.wav/track_country.00010.wav_segment_6.npy
track_country.00010.wav,2,data/mel_spectrograms_train\track_country.00010.wav/track_country.00010.wav_segment_7.npy
track_country.00010.wav,2,data/mel_spectrograms_train\track_country.00010.wav/track_country.00010.wav_segment_8.npy
track_country.00010.wav,2,data/mel_spectrograms_train\track_country.00010.wav/track_country.00010.wav_segment_9.npy
track_pop.00078.wav,7,data/mel_spectrograms_train\track_pop.00078.wav/track_pop.00078.wav_segment_0.npy
track_pop.00078.wav,7,data/mel_spectrograms_train\track_pop.00078.wav/track_pop.00078.wav_segment_1.npy
track_pop.00078.wav,7,data/mel_spectrograms_train\track_pop.00078.wav/track_pop.00078.wav_segment_2.npy
track_pop.00078.wav,7,data/mel_spectrograms_train\track_pop.00078.wav/track_pop.00078.wav_segment_3.npy
track_pop.00078.wav,7,data/mel_spectrograms_train\track_pop.00078.wav/track_pop.00078.wav_segment_4.npy
track_pop.00078.wav,7,data/mel_spectrograms_train\track_pop.00078.wav/track_pop.00078.wav_segment_5.npy
track_pop.00078.wav,7,data/mel_spectrograms_train\track_pop.00078.wav/track_pop.00078.wav_segment_6.npy
track_pop.00078.wav,7,data/mel_spectrograms_train\track_pop.00078.wav/track_pop.00078.wav_segment_7.npy
track_pop.00078.wav,7,data/mel_spectrograms_train\track_pop.00078.wav/track_pop.00078.wav_segment_8.npy
track_pop.00078.wav,7,data/mel_spectrograms_train\track_pop.00078.wav/track_pop.00078.wav_segment_9.npy
track_reggae.00008.wav,8,data/mel_spectrograms_train\track_reggae.00008.wav/track_reggae.00008.wav_segment_0.npy
